PRC 1 person  Left=1592, Top=781, Right=1614, Bottom=834

PRC 1 person  Left=1401, Top=767, Right=1423, Bottom=826

PRC 2 person  Left=1589, Top=781, Right=1613, Bottom=836

PRC 2 person  Left=1397, Top=774, Right=1421, Bottom=820

PRC 2 person  Left=1631, Top=778, Right=1656, Bottom=819

PRC 3 person  Left=1589, Top=782, Right=1612, Bottom=833

PRC 3 person  Left=1631, Top=777, Right=1656, Bottom=824

PRC 3 person  Left=1396, Top=770, Right=1423, Bottom=824

PRC 4 person  Left=1589, Top=783, Right=1612, Bottom=834

PRC 4 person  Left=1399, Top=767, Right=1424, Bottom=812

PRC 4 person  Left=1670, Top=702, Right=1687, Bottom=741

PRC 4 person  Left=1628, Top=776, Right=1651, Bottom=826

PRC 5 person  Left=1588, Top=781, Right=1612, Bottom=833

PRC 5 person  Left=1629, Top=780, Right=1651, Bottom=824

PRC 5 person  Left=1401, Top=766, Right=1423, Bottom=814

PRC 5 person  Left=1670, Top=703, Right=1684, Bottom=738

PRC 6 person  Left=1590, Top=779, Right=1613, Bottom=830

PRC 6 person  Left=1669, Top=694, Right=1686, Bottom=729

PRC 6 person  Left=1628, Top=779, Right=1651, Bottom=827

PRC 6 person  Left=1399, Top=768, Right=1421, Bottom=824

PRC 7 person  Left=1588, Top=779, Right=1612, Bottom=832

PRC 7 person  Left=1627, Top=780, Right=1652, Bottom=829

PRC 7 person  Left=1399, Top=766, Right=1423, Bottom=814

PRC 7 person  Left=1668, Top=693, Right=1685, Bottom=731

PRC 8 person  Left=1589, Top=779, Right=1610, Bottom=827

PRC 8 person  Left=1671, Top=703, Right=1686, Bottom=739

PRC 8 person  Left=1399, Top=769, Right=1420, Bottom=823

PRC 8 person  Left=1629, Top=779, Right=1650, Bottom=824

PRC 8 person  Left=1412, Top=772, Right=1431, Bottom=833

PRC 9 person  Left=1590, Top=777, Right=1611, Bottom=827

PRC 9 person  Left=1671, Top=703, Right=1685, Bottom=739

PRC 9 person  Left=1629, Top=778, Right=1650, Bottom=821

PRC 9 person  Left=1407, Top=760, Right=1425, Bottom=808

